name	label	description	entity	dataType	idAttribute	labelAttribute	visible	nillable	refEntity
identifier	Identifier	A unique proper name or character sequence that identifies this particular clinical examination. (NCIT:C87853 )	clinical	string	TRUE	TRUE	TRUE	FALSE	
belongstosubject	Belongs to subject	An individual who is the subject of personal data, persons to whom data refers, and from whom data are collected, processed, and stored. (NCIT:C142495, IAO:0000136 )	clinical	xref	FALSE	FALSE	TRUE	TRUE	unified-schema_subjects
affectedstatus	Affected status	Individuals in a pedigree who exhibit the specific phenotype under study. (NCIT:C64917 )	clinical	bool	FALSE	FALSE	TRUE	TRUE	
dateofdiagnosis	Date of diagnosis	The date on which a diagnosis of disease was made. (NCIT:C164339 )	clinical	date	FALSE	FALSE	TRUE	TRUE	
ageatdiagnosis	Age at diagnosis	The age (in years), measured from some defined time point (e.g. birth) at which a patient is diagnosed with a disease. (SNOMEDCT:423493009 )	clinical	int	FALSE	FALSE	TRUE	TRUE	
ageofonset	Age of onset	Age (in years) of onset of clinical manifestations related to the disease of the patient. (Orphanet:C023 )	clinical	int	FALSE	FALSE	TRUE	TRUE	
ageatlastscreening	Age at last screening	Age of the patient at the moment of the most recent screening. (NCIT:C81258 )	clinical	int	FALSE	FALSE	TRUE	TRUE	
observedphenotype	Observed phenotype	The outward appearance of the individual. In medical context, these are often the symptoms caused by a disease. (NCIT:C16977 )	clinical	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_clinical_observedphenotype
unobservedphenotype	Unobserved phenotype	Phenotypes or symptoms that were looked for but not observed, which may help in differential diagnosis or establish incomplete penetrance. (HL7:C0442737 )	clinical	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_clinical_unobservedphenotype
provisionalphenotype	Provisional phenotype	The test or procedure was successfully performed, but the results are borderline and can neither be declared positive / negative nor detected / not detected according to the current established criteria. (HL7:C0332241 )	clinical	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_clinical_provisionalphenotype
clinicaldiagnosis	Clinical diagnosis	A diagnosis made from a study of the signs and symptoms of a disease. (NCIT:C15607 )	clinical	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_clinical_clinicaldiagnosis
moleculardiagnosisgene	Molecular diagnosis gene	Gene affected by pathogenic variation that is causal for disease of the patient. (NCIT:C20826 )	clinical	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_clinical_moleculardiagnosisgene
moleculardiagnosisother	Molecular diagnosis other	Causal variant in HGVS notation with optional classification or free text explaining any other molecular mechanisms involved. (NCIT:C20826 )	clinical	text	FALSE	FALSE	TRUE	TRUE	
medication	Medication	A drug product that contains one or more active and/or inactive ingredients used by the patient intended to treat, prevent or alleviate the symptoms of disease. Any hormone therapies, gender-related or otherwise, should also be recorded here. (NCIT:C459 )	clinical	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_clinical_medication
drugregimen	Drug regimen	The specific way a therapeutic drug is to be taken, including formulation, route of administration, dose, dosing interval, and treatment duration. (NCIT:C142516 )	clinical	text	FALSE	FALSE	TRUE	TRUE	
medicalhistory	Medical history	A record of a person's background regarding health, occurrence of disease events and surgical procedures. (NCIT:C18772 )	clinical	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_clinical_medicalhistory
phenotypicdataavailable	Phenotypic data available	Types of phenotypic data collected in a clinical setting that is potentially available upon request. (NCIT:C15783 )	clinical	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_clinical_phenotypicdataavailable
statusofdiagnosis	Status of diagnosis	A condition or state at a particular time. (NCIT:C25688 )	clinical	xref	FALSE	FALSE	TRUE	TRUE	unified-schema_clinical_statusofdiagnosis
firstcontact	First contact	First contact of the patient with a specialised center in context of disease or study inclusion. (LOINC:MTHU048806 )	clinical	date	FALSE	FALSE	TRUE	TRUE	
datediagnosisconfirmed	Date diagnosis confirmed	The particular day, month and year an event has happened or will happen. (NCIT:C25164 )	clinical	date	FALSE	FALSE	TRUE	TRUE	
familymembersaffected	Family members affected	Family members related by descent rather than by marriage or law who were diagnosed with the same condition as the individual who is the primary focus of investigation (i.e. the proband). (HP:0032320 )	clinical	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_clinical_familymembersaffected
familymemberssequenced	Family members sequenced	Family members related by descent rather than by marriage or law who were also tested by next-generation sequencing. (NCIT:C79916 )	clinical	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_clinical_familymemberssequenced
functioning	Functioning	Patient's classification of functioning i.e. disability profile according to International Classification of Functioning and Disability (ICF). (NCIT:C21007 )	clinical	text	FALSE	FALSE	TRUE	TRUE	
materialusedindiagnosis	Material used in diagnosis	This diagnosis c.q. clinical examination is based on one or more sampled materials. (SIO:000641 )	clinical	string	FALSE	FALSE	TRUE	TRUE	
partofdatarelease	Part of data release	The act of making data or other structured information accessible to the public or to the user group of a database. (NCIT:C172217 )	clinical	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_datareleases
