name	label	description	entity	dataType	idAttribute	labelAttribute	visible	nillable	refEntity
variantinternalid	variantInternalId	A unique proper name or character sequence that identifies this particular variation. (NCIT:C164813 )	genomicvariantdescriptions	string	TRUE	TRUE	TRUE	FALSE	
belongstosubject	Belongs to subject	An individual who is the subject of personal data, persons to whom data refers, and from whom data are collected, processed, and stored. (NCIT:C142495, IAO:0000136 )	genomicvariantdescriptions	xref	FALSE	FALSE	TRUE	TRUE	unified-schema_subjects
belongstomaterial	Belongs to material	Reference to the source material from which this sample was prepared. (NCIT:C93400, NCIT:C25683 )	genomicvariantdescriptions	xref	FALSE	FALSE	TRUE	TRUE	unified-schema_materials
producedbysequencingrun	Produced by sequencing run	A unique proper name or character sequence that identifies this particular nucleic acid sequencing assay. (NCIT:C171337 )	genomicvariantdescriptions	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_sequencingruns
alternatebases	alternateBases	An allele that varies in it sequence from what is considered the reference or canonical sequence at that location. (GENO:0000002, ENSGLOSSARY:0000109 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
referencebases	referenceBases	An attribute inhering in a feature that is designated to serve as a standard against which 'variant' versions of the same location are compared. (GENO:0000036 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
humanchromosome	Human chromosome	A structure found in the nucleus of human cells that is comprised of a strand of linearized double-stranded DNA plus proteins that package the DNA in a condensed coil form and regulate chromosomal function. (NCIT:C13203 )	genomicvariantdescriptions	xref	FALSE	FALSE	TRUE	TRUE	unified-schema_genomicvariantdescriptions_humanchromosome
varianttype	variantType	An attribute describing a type of variation inhering in a sequence feature or collection. (GENO:0000773 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
position_start	position_start	The starting position of a sequence feature or interval. (GENO:0000894 )	genomicvariantdescriptions	int	FALSE	FALSE	TRUE	TRUE	
position_end	position_end	The ending position of a sequence feature or interval. (GENO:0000895 )	genomicvariantdescriptions	int	FALSE	FALSE	TRUE	TRUE	
position_assemblyid	position_assemblyId	The specific build of the human genome used as reference for this variant. (EDAM:data_2340, NCIT:C164388 )	genomicvariantdescriptions	xref	FALSE	FALSE	TRUE	TRUE	unified-schema_genomicvariantdescriptions_position_assemblyid
position_refseqid	position_refseqId	TODO unsure what is ment here - Refseq accession number of a transcript? (NCIT:C45335 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
identifiers_clinvarids	identifiers_clinVarIds	NCBI resource that aggregates information about genomic variation and its relationship to human health. (ENSGLOSSARY:0000242 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
identifiers_genomichgvsid	identifiers_genomicHGVSId	HGVS genomic sequence variant nomenclature (ENSGLOSSARY:0000274 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
identifiers_proteinhgvsids	identifiers_proteinHGVSIds	HGVS protein sequence variant nomenclature (ENSGLOSSARY:0000274 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
identifiers_transcripthgvsids	identifiers_transcriptHGVSIds	HGVS transcript sequence variant nomenclature (ENSGLOSSARY:0000274 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
identifiers_variantalternativeids	identifiers_variantAlternativeIds	A backup sequence of characters used to identify an entity. (NCIT:C90353 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
molecularattributes_aminoacidchanges	molecularAttributes_aminoacidChanges	A variation in the amino acid sequence of a specific gene product. (NCIT:C97928 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
molecularattributes_geneids	molecularAttributes_geneIds	A unique gene name within a specific repository, database, or collection. (NCIT:C48664 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
molecularattributes_genomicfeatures	molecularAttributes_genomicFeatures	A sequence feature (continuous extent of biological sequence) that is of genomic origin (i.e. carries sequence from the genome of a cell or organism) (GENO:0000481 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
molecularattributes_moleculareffects	molecularAttributes_molecularEffects	The effect that the variant has on each feature that it overlaps. A variant will have a consequence for each feature that it overlaps. (ENSGLOSSARY:0000134 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
variantleveldata_clinicalinterpretations	variantLevelData_clinicalInterpretations	The determination of the meaning of a clinical result. (NCIT:C125009 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
variantleveldata_phenotypiceffects	variantLevelData_phenotypicEffects	The likelihood of an entity to produce pathologic changes or disease. (NCIT:C168796 )	genomicvariantdescriptions	string	FALSE	FALSE	TRUE	TRUE	
