name	label	description	entity	dataType	idAttribute	labelAttribute	visible	nillable	refEntity
identifier	Identifier	Name or other identifier of an entry from a biosample database. (EDAM:data_3273, NCIT:C93400 )	materials	string	TRUE	TRUE	TRUE	FALSE	
alternativeidentifiers	Alternative identifiers	A backup sequence of characters used to identify an entity. (NCIT:C90353 )	materials	string	FALSE	FALSE	TRUE	TRUE	
collectedfromsubject	Collected from subject	Reference to the subject from whom this material was collected. (SIO:000244, NCIT:C142495 )	materials	xref	FALSE	FALSE	TRUE	TRUE	unified-schema_subjects
belongstorequest	Belongs to request	A sequence of letters, numbers, or other characters that specifically identifies a particular order. (NCIT:C164567 )	materials	string	FALSE	FALSE	TRUE	TRUE	
belongstodiagnosis	Belongs to diagnosis	Reference to a diagnosis c.q. clinical examination of which this material may be a part of. There can be multiple diagnoses when a non-tumor material is reused as reference. (SIO:000068 )	materials	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_clinical
dateofrequest	Date of request	The date on which the activity or entity was ordered. (NCIT:C164566 )	materials	date	FALSE	FALSE	TRUE	TRUE	
reasonforsampling	Reason for sampling	The explanation for why a test, measurement, or assessment is executed. (NCIT:C171003 )	materials	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_materials_reasonforsampling
samplingdate	Sampling date	The date that a sample was collected or obtained. (NCIT:C164024 )	materials	date	FALSE	FALSE	TRUE	TRUE	
samplingtimestamp	Sampling timestamp	Date and time at which this material was collected. (EFO:0000689 )	materials	datetime	FALSE	FALSE	TRUE	TRUE	
registrationtimestamp	Registration timestamp	Date and time at which this material was listed or recorded officially, i.e. officially qualified or enrolled. (NCIT:C25646 )	materials	datetime	FALSE	FALSE	TRUE	TRUE	
samplingprotocoltext	Sampling protocol text	The procedure whereby this material was sampled for an analysis. (EFO:0005518 )	materials	text	FALSE	FALSE	TRUE	TRUE	
samplingprotocolreference	Sampling protocol reference	The procedure whereby this material was sampled for an analysis. (EFO:0005518 )	materials	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_samplingprotocols
samplingprotocoldeviation	Sampling protocol deviation	A variation from processes or procedures defined in the sampling protocol. Deviations usually do not preclude the overall evaluability of subject data for either efficacy or safety, and are often acknowledged and accepted in advance by the sponsor. (NCIT:C50996 )	materials	text	FALSE	FALSE	TRUE	TRUE	
reasonforsamplingprotocoldeviation	Reason for sampling protocol deviation	The rationale for why a deviation from the sampling protocol has occurred. (NCIT:C93529 )	materials	text	FALSE	FALSE	TRUE	TRUE	
biospecimentype	Biospecimen type	The type of material taken from a biological entity for testing, diagnostic, propagation, treatment or research purposes. (NCIT:C70713 )	materials	xref	FALSE	FALSE	TRUE	TRUE	unified-schema_materials_biospecimentype
anatomicalsource	Anatomical source	Biological entity that constitutes the structural organization of an individual member of a biological species from which this material was taken. (NCIT:C103264 )	materials	xref	FALSE	FALSE	TRUE	TRUE	unified-schema_materials_anatomicalsource
pathologicalstate	Pathological state	The pathological state of the tissue from which this material was derived. (GO:0001894 )	materials	xref	FALSE	FALSE	TRUE	TRUE	unified-schema_materials_pathologicalstate
biospecimenusability	Biospecimen usability	An indication as to whether a biospecimen is suitable for testing purposes. (NCIT:C171004 )	materials	bool	FALSE	FALSE	TRUE	TRUE	
storageconditions	Storage conditions	The conditions under which this biological material was stored. (NCIT:C96145 )	materials	xref	FALSE	FALSE	TRUE	TRUE	unified-schema_materials_storageconditions
expirationdate	Expiration date	The date beyond which this material is no longer regarded as fit for use. (NCIT:C164516 )	materials	date	FALSE	FALSE	TRUE	TRUE	
percentagetumorcells	Percentage tumor cells	The percentage of tumor cells compared to total cells present in this material. (NCIT:C127771 )	materials	decimal	FALSE	FALSE	TRUE	TRUE	
physicallocation	Physical location	A place on the Earth where this material is located, by its name or by its geographical location. This definition is intentionally vague to allow reuse locally (e.g. which freezer), for contacting (e.g. which institute), broadly for logistical or legal reasons (e.g. city, country or continent). (GAZ:00000448 )	materials	string	FALSE	FALSE	TRUE	TRUE	
analysesperformed	Analyses performed	Reports the existence of any analyses performed on this material other than genomics (e.g. transcriptomics, metabolomics, proteomics). (IAO:0000702 )	materials	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_materials_analysesperformed
derivedfrom	Derived from	Indicate if this material was produced from or related to another. (NCIT:C28355 )	materials	string	FALSE	FALSE	TRUE	TRUE	
partofdatarelease	Part of data release	The act of making data or other structured information accessible to the public or to the user group of a database. (NCIT:C172217 )	materials	mref	FALSE	FALSE	TRUE	TRUE	unified-schema_datareleases
