value	description	codesystem	code	iri
clinical care use	This data use modifier indicates that use is allowed for clinical use and care.	DUO	0000043	http://purl.obolibrary.org/obo/DUO_0000043
collaboration required	This requirement indicates that the requestor must agree to collaboration with the primary study investigator(s).	DUO	0000020	http://purl.obolibrary.org/obo/DUO_0000020
ethics approval required	This requirement indicates that the requestor must provide documentation of local IRB/ERB approval.	DUO	0000021	http://purl.obolibrary.org/obo/DUO_0000021
genetic studies only	This data use limitation indicates that use is limited to genetic studies only (i.e., no phenotype-only research)	DUO	0000016	http://purl.obolibrary.org/obo/DUO_0000016
geographical restriction	This should be coupled with an ontology term describing the geographical location the restriction applies to.	DUO	0000022	http://purl.obolibrary.org/obo/DUO_0000022
institution specific restriction	This requirement indicates that use is limited to use within an approved institution.	DUO	0000028	http://purl.obolibrary.org/obo/DUO_0000028
no general methods research	This data use limitation indicates that use includes methods development research(e.g., development of software or algorithms) only within the bounds of other use limitations.	DUO	0000015	http://purl.obolibrary.org/obo/DUO_0000015
not for profit, non commercial use only	This requirement indicates that use of the data is limited to not-for-profit organizations and not-for-profit use, non-commercial use.	DUO	0000018	http://purl.obolibrary.org/obo/DUO_0000018
non-commercial use only	This indicates that data can be used by commercial organisations for research purposes, but not commercial purposes.	DUO	0000046	http://purl.obolibrary.org/obo/DUO_0000046
not for profit organisation use only	This data use modifier indicates that use of the data is limited to not-for-profit organizations.	DUO	0000045	http://purl.obolibrary.org/obo/DUO_0000045
population origins or ancestry research prohibited	This data use modifier indicates use for purposes of population, origin, or ancestry research is prohibited.	DUO	0000044	http://purl.obolibrary.org/obo/DUO_0000044
project specific restriction	This data use modifier indicates that use is limited to use within an approved project.	DUO	0000027	http://purl.obolibrary.org/obo/DUO_0000027
publication moratorium	This requirement indicates that requestor agrees not to publish results of studies until a specific date.	DUO	0000024	http://purl.obolibrary.org/obo/DUO_0000024
publication required	This requirement indicates that requestor agrees to make results of studies using the data available to the larger scientific community.	DUO	0000019	http://purl.obolibrary.org/obo/DUO_0000019
research specific restrictions	This data use limitation indicates that use is limited to studies of a certain research type.	DUO	0000012	http://purl.obolibrary.org/obo/DUO_0000012
return to database or resource	This requirement indicates that the requestor must return derived/enriched data to the database/resource.	DUO	0000029	http://purl.obolibrary.org/obo/DUO_0000029
time limit on use	This requirement indicates that use is approved for a specific number of months.	DUO	0000025	http://purl.obolibrary.org/obo/DUO_0000025
user specific restriction	This requirement indicates that use is limited to use by approved users.	DUO	0000026	http://purl.obolibrary.org/obo/DUO_0000026
research with incidental findings permitted with obligation to report	Research with a chance of incidental findings is permitted with an obligation to report incidental findings.	FG	0000740	https://w3id.org/fair-genomes/resource/FG_0000740
research with incidental findings permitted without obligation to report	Research with a chance of incidental findings is permitted without an obligation to report incidental findings.	FG	0000741	https://w3id.org/fair-genomes/resource/FG_0000741
research with incidental findings prohibited	Research with a chance of incidental findings is prohibited.	FG	0000742	https://w3id.org/fair-genomes/resource/FG_0000742
equivalent legal data protection required	Equivalent legal data protection is required. This term should be combined with a list of relevant data protection laws requirements.	FG	0000743	https://w3id.org/fair-genomes/resource/FG_0000743
