value	description	codesystem	code	iri
Active Study	A clinical study status designating the study open to accrual.	NCIT	C70747	http://purl.obolibrary.org/obo/NCIT_C70747
Approved Protocol	Protocol is approved by the review board.	NCIT	C70745	http://purl.obolibrary.org/obo/NCIT_C70745
Blinded Status at SDTM Dataset Generation	The blinding status of the trial at the point in time when the SDTM datasets are generated.	NCIT	C139272	http://purl.obolibrary.org/obo/NCIT_C139272
Clinical Trial Suspension	An interruption in some or all clinical trial activities.	NCIT	C156631	http://purl.obolibrary.org/obo/NCIT_C156631
Clinical Trial Temporary Halt	An interruption in clinical trial activity by the sponsor that is not in the clinical protocol with an intention to resume the study.	NCIT	C156630	http://purl.obolibrary.org/obo/NCIT_C156630
Open To Enrollment	An indication that a study is able to add subjects.	NCIT	C142621	http://purl.obolibrary.org/obo/NCIT_C142621
Performed Clinical Study	A business process status of a clinical study that refers to the study that started the execution of activities specified by the study protocol. The data associated with the performed study describes quantitatively and qualitatively actual observations and events occurring in the study after its approval such as actual accrual numbers dates of subject enrollment  etc.	NCIT	C70759	http://purl.obolibrary.org/obo/NCIT_C70759
Planned Clinical Study	A business process status of a clinical study which occurs before the study starts. A study plan on which the clinical trial is based focuses on several priority parameters that include but are not limited to the types of subjects eligible to participate in the study targeted accrual numbers schedules and durations of interventions the length of the study and the planned duration of a subject participation. These outlines are a part of a study protocol which is more a detailed and comprehensive study document.	NCIT	C70704	http://purl.obolibrary.org/obo/NCIT_C70704
Protocol Administratively Withdrawn	A clinical study protocol status designating the protocol that has been withdrawn prior to the complete review.	NCIT	C70778	http://purl.obolibrary.org/obo/NCIT_C70778
Protocol Approved with Modifications	Protocol Approved with Modifications	NCIT	C70746	http://purl.obolibrary.org/obo/NCIT_C70746
Protocol Conditionally Approved	Protocol Conditionally Approved	NCIT	C70779	http://purl.obolibrary.org/obo/NCIT_C70779
Protocol Deferred	A clinical study protocol review status designating the protocol that was deferred pending additional information or/and action(s).	NCIT	C70750	http://purl.obolibrary.org/obo/NCIT_C70750
Protocol Disapproved	A clinical study protocol review status designating the protocol that was denied the approval.	NCIT	C70748	http://purl.obolibrary.org/obo/NCIT_C70748
Study Closed to Accrual	A clinical study status designating the study that stopped patient accrual; other study activities specified by the study protocol might continue.	NCIT	C70751	http://purl.obolibrary.org/obo/NCIT_C70751
Study Closed to Accrual and Treatment	A clinical study status designating the study that stopped further patient accrual as well as the treatment of the subjects already enrolled in the trial.	NCIT	C70752	http://purl.obolibrary.org/obo/NCIT_C70752
Study Completed	A clinical study status designating the study has been completed normally according to the protocol. Subject enrollment stopped. No participants are treated or being followed up.	NCIT	C70756	http://purl.obolibrary.org/obo/NCIT_C70756
Study Enrollment Closure	Refers to the closing of a study to further enrollment.	NCIT	C25366	http://purl.obolibrary.org/obo/NCIT_C25366
Study on Hold	A clinical study status designating that an order has been issued to a study sponsor to delay a proposed investigation or to suspend an ongoing one. When a proposed study is placed on clinical hold subjects may not be given the investigational product as part of the study. When an ongoing study is placed on clinical hold no new subjects may be recruited to the study and placed on the investigational product. Subjects already in the study have to stop receiving therapy involving the investigational agent unless the FDA specifically permits it.	NCIT	C70755	http://purl.obolibrary.org/obo/NCIT_C70755
Study Terminated	A clinical study status designating the study has been stopped prematurely and will not resume. Subject enrollment stopped. No participants are treated or being followed up.	NCIT	C70757	http://purl.obolibrary.org/obo/NCIT_C70757
Study Withdrawn	A clinical study status designating the study that has been stopped prematurely: Subject enrollment never started. Study will not resume.	NCIT	C70758	http://purl.obolibrary.org/obo/NCIT_C70758
Trial Termination	The discontinuation of a clinical trial prior to the planned end date.	NCIT	C142739	http://purl.obolibrary.org/obo/NCIT_C142739
NoInformation (NI, nullflavor)	The value is exceptional (missing, omitted, incomplete, improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.	HL7	NI	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NI
