value,description,codesystem,code,iri
"Carrier Status","quantification of the presence or absence of a marker eg a gene or a substance in a sample","EFO","0007658","http://www.ebi.ac.uk/efo/EFO_0007658"
"Diagnostic","Characteristic or indicative of a condition.","NCIT","C25482","http://purl.obolibrary.org/obo/NCIT_C25482"
"Genetic Testing","The process of isolating and testing the DNA of an embryo or a person to detect the presence of genetic alterations or defects that may predispose to the future development of a disease or disorder.","NCIT","C15709","http://purl.obolibrary.org/obo/NCIT_C15709"
"Informative","Refers to data that is useful in forming an opinion or judging an outcome.","NCIT","C94366","http://purl.obolibrary.org/obo/NCIT_C94366"
"Prenatal Examination","A test or diagnostic examination to assess the health status of the mother and well being of the fetus.","MAXO","0000528","http://purl.obolibrary.org/obo/MAXO_0000528"
"Presymptomatic Testing","Genetic analysis of an asymptomatic or unaffected individual who is at risk of a specific genetic disorder.","NCIT","C94311","http://purl.obolibrary.org/obo/NCIT_C94311"
"Research","Systematic investigation into a subject in order to discover facts establish or revise a theory or develop a plan of action based on the facts discovered.","NCIT","C15429","http://purl.obolibrary.org/obo/NCIT_C15429"
"Storage","A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability.","OBI","0302893","http://purl.obolibrary.org/obo/OBI_0302893"
"Other","The actual value is not a member of the set of permitted data values in the constrained value domain of a variable.The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g. concept not provided by required code system).","HL7","OTH","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#OTH"
"Unknown","A proper value is applicable but not known.","HL7","UNK","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNK"
"NoInformation (NI, nullflavor)","The value is exceptional (missing, omitted, incomplete, improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.","HL7","NI","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NI"
"Invalid (INV, nullflavor)","The value as represented in the instance is not a member of the set of permitted data values in the constrained value domain of a variable.","HL7","INV","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#INV"
"Derived (DER, nullflavor)","An actual value may exist, but it must be derived from the provided information (usually an EXPR generic data type extension will be used to convey the derivation expression .","HL7","DER","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#DER"
"Other (OTH, nullflavor)","The actual value is not a member of the set of permitted data values in the constrained value domain of a variable.The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).","HL7","OTH","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#OTH"
"Negative infinity (NINF, nullflavor)","Negative infinity of numbers.","HL7","NINF","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NINF"
"Positive infinity (PINF, nullflavor)","Positive infinity of numbers.","HL7","PINF","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#PINF"
"Un-encoded (UNC, nullflavor)","The actual value has not yet been encoded within the approved value domain.","HL7","UNC","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNC"
"Masked (MSK, nullflavor)","There is information on this item available but it has not been provided by the sender due to security, privacy or other reasons. There may be an alternate mechanism for gaining access to this information.","HL7","MSK","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#MSK"
"Not applicable (NA, nullflavor)","Known to have no proper value (e.g., last menstrual period for a male).","HL7","NA","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NA"
"Unknown (UNK, nullflavor)","A proper value is applicable, but not known.","HL7","UNK","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNK"
"Asked but unknown (ASKU, nullflavor)","Information was sought but not found (e.g., patient was asked but didn't know)","HL7","ASKU","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#ASKU"
"Temporarily unavailable (NAV, nullflavor)","Information is not available at this time but it is expected that it will be available later.","HL7","NAV","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NAV"
"Not asked (NASK, nullflavor)","This information has not been sought. (e.g., patient was not asked)","HL7","NASK","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NASK"
"Not available (NAVU, nullflavor)","Information is not available at this time (with no expectation regarding whether it will or will not be available in the future).","HL7","NAVU","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NAVU"
"Sufficient quantity (QS, nullflavor)","The specific quantity is not known, but is known to be non-zero and is not specified because it makes up the bulk of the material. e.g. 'Add 10mg of ingredient X, 50mg of ingredient Y, and sufficient quantity of water to 100mL.' The null flavor would be used to express the quantity of water.","HL7","QS","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#QS"
"Trace (TRC, nullflavor)","The content is greater than zero, but too small to be quantified.","HL7","TRC","http://terminology.hl7.org/CodeSystem/v3-NullFlavor#TRC"
