value_en	description_en	codesystem	code	description_code
Chromosome 1	Chromosome 1	NCIT	http://purl.obolibrary.org/obo/NCIT_C13204	Chromosome 1
Chromosome 20	Chromosome 20	NCIT	http://purl.obolibrary.org/obo/NCIT_C13216	Chromosome 20
Chromosome 5	Chromosome 5	NCIT	http://purl.obolibrary.org/obo/NCIT_C13221	Chromosome 5
Chromosome 7	Chromosome 7	NCIT	http://purl.obolibrary.org/obo/NCIT_C13223	Chromosome 7
Chromosome X	Chromosome X	NCIT	http://purl.obolibrary.org/obo/NCIT_C13285	Chromosome X
Chromosome Y	Chromosome Y	NCIT	http://purl.obolibrary.org/obo/NCIT_C13286	Chromosome Y
Chromosome 10	Chromosome 10	NCIT	http://purl.obolibrary.org/obo/NCIT_C13205	Chromosome 10
Chromosome 12	Chromosome 12	NCIT	http://purl.obolibrary.org/obo/NCIT_C13207	Chromosome 12
Chromosome 13	Chromosome 13	NCIT	http://purl.obolibrary.org/obo/NCIT_C13208	Chromosome 13
Chromosome 15	Chromosome 15	NCIT	http://purl.obolibrary.org/obo/NCIT_C13210	Chromosome 15
Chromosome 17	Chromosome 17	NCIT	http://purl.obolibrary.org/obo/NCIT_C13212	Chromosome 17
Chromosome 18	Chromosome 18	NCIT	http://purl.obolibrary.org/obo/NCIT_C13213	Chromosome 18
Chromosome 19	Chromosome 19	NCIT	http://purl.obolibrary.org/obo/NCIT_C13214	Chromosome 19
Chromosome 2	Chromosome 2	NCIT	http://purl.obolibrary.org/obo/NCIT_C13215	Chromosome 2
Chromosome 21	Chromosome 21	NCIT	http://purl.obolibrary.org/obo/NCIT_C13217	Chromosome 21
Chromosome 22	Chromosome 22	NCIT	http://purl.obolibrary.org/obo/NCIT_C13218	Chromosome 22
Chromosome 4	Chromosome 4	NCIT	http://purl.obolibrary.org/obo/NCIT_C13220	Chromosome 4
Chromosome 6	Chromosome 6	NCIT	http://purl.obolibrary.org/obo/NCIT_C13222	Chromosome 6
Chromosome 8	Chromosome 8	NCIT	http://purl.obolibrary.org/obo/NCIT_C13224	Chromosome 8
Chromosome 3	Chromosome 3	NCIT	http://purl.obolibrary.org/obo/NCIT_C13219	Chromosome 3
Chromosome 11	Chromosome 11	NCIT	http://purl.obolibrary.org/obo/NCIT_C13206	Chromosome 11
Chromosome 14	Chromosome 14	NCIT	http://purl.obolibrary.org/obo/NCIT_C13209	Chromosome 14
Chromosome 16	Chromosome 16	NCIT	http://purl.obolibrary.org/obo/NCIT_C13211	Chromosome 16
Chromosome 9	Chromosome 9	NCIT	http://purl.obolibrary.org/obo/NCIT_C13225	Chromosome 9
NoInformation (NI, nullflavor)	The value is exceptional (missing, omitted, incomplete, improper). No information as to the reason for being an exceptional value is provided. This is the most general exceptional value. It is also the default exceptional value.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NI	NoInformation (NI, nullflavor)
Invalid (INV, nullflavor)	The value as represented in the instance is not a member of the set of permitted data values in the constrained value domain of a variable.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#INV	Invalid (INV, nullflavor)
Derived (DER, nullflavor)	An actual value may exist, but it must be derived from the provided information (usually an EXPR generic data type extension will be used to convey the derivation expression .	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#DER	Derived (DER, nullflavor)
Other (OTH, nullflavor)	The actual value is not a member of the set of permitted data values in the constrained value domain of a variable.The actual value is not a member of the set of permitted data values in the constrained value domain of a variable. (e.g., concept not provided by required code system).	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#OTH	Other (OTH, nullflavor)
Negative infinity (NINF, nullflavor)	Negative infinity of numbers.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NINF	Negative infinity (NINF, nullflavor)
Positive infinity (PINF, nullflavor)	Positive infinity of numbers.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#PINF	Positive infinity (PINF, nullflavor)
Un-encoded (UNC, nullflavor)	The actual value has not yet been encoded within the approved value domain.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNC	Un-encoded (UNC, nullflavor)
Masked (MSK, nullflavor)	There is information on this item available but it has not been provided by the sender due to security, privacy or other reasons. There may be an alternate mechanism for gaining access to this information.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#MSK	Masked (MSK, nullflavor)
Not applicable (NA, nullflavor)	Known to have no proper value (e.g., last menstrual period for a male).	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NA	Not applicable (NA, nullflavor)
Unknown (UNK, nullflavor)	A proper value is applicable, but not known.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#UNK	Unknown (UNK, nullflavor)
Asked but unknown (ASKU, nullflavor)	Information was sought but not found (e.g., patient was asked but didn't know)	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#ASKU	Asked but unknown (ASKU, nullflavor)
Temporarily unavailable (NAV, nullflavor)	Information is not available at this time but it is expected that it will be available later.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NAV	Temporarily unavailable (NAV, nullflavor)
Not asked (NASK, nullflavor)	This information has not been sought. (e.g., patient was not asked)	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NASK	Not asked (NASK, nullflavor)
Not available (NAVU, nullflavor)	Information is not available at this time (with no expectation regarding whether it will or will not be available in the future).	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#NAVU	Not available (NAVU, nullflavor)
Sufficient quantity (QS, nullflavor)	The specific quantity is not known, but is known to be non-zero and is not specified because it makes up the bulk of the material. e.g. 'Add 10mg of ingredient X, 50mg of ingredient Y, and sufficient quantity of water to 100mL.' The null flavor would be used to express the quantity of water.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#QS	Sufficient quantity (QS, nullflavor)
Trace (TRC, nullflavor)	The content is greater than zero, but too small to be quantified.	HL7	http://terminology.hl7.org/CodeSystem/v3-NullFlavor#TRC	Trace (TRC, nullflavor)
