value_en	description_en	codesystem	code	description_code
Sex-limited autosomal recessive inheritance	Sex-limited autosomal recessive inheritance	HP	http://purl.obolibrary.org/obo/HP_0031362	Sex-limited autosomal recessive inheritance
Autosomal dominant inheritance	Autosomal dominant inheritance	HP	http://purl.obolibrary.org/obo/HP_0000006	Autosomal dominant inheritance
Autosomal recessive inheritance	Autosomal recessive inheritance	HP	http://purl.obolibrary.org/obo/HP_0000007	Autosomal recessive inheritance
X-linked inheritance	X-linked inheritance	HP	http://purl.obolibrary.org/obo/HP_0001417	X-linked inheritance
X-linked recessive inheritance	X-linked recessive inheritance	HP	http://purl.obolibrary.org/obo/HP_0001419	X-linked recessive inheritance
X-linked dominant inheritance	X-linked dominant inheritance	HP	http://purl.obolibrary.org/obo/HP_0001423	X-linked dominant inheritance
Heterogeneous	Heterogeneous	HP	http://purl.obolibrary.org/obo/HP_0001425	Heterogeneous
Multifactorial inheritance	Multifactorial inheritance	HP	http://purl.obolibrary.org/obo/HP_0001426	Multifactorial inheritance
Mitochondrial inheritance	Mitochondrial inheritance	HP	http://purl.obolibrary.org/obo/HP_0001427	Mitochondrial inheritance
Somatic mutation	Somatic mutation	HP	http://purl.obolibrary.org/obo/HP_0001428	Somatic mutation
Somatic mosaicism	Somatic mosaicism	HP	http://purl.obolibrary.org/obo/HP_0001442	Somatic mosaicism
Autosomal dominant somatic cell mutation	Autosomal dominant somatic cell mutation	HP	http://purl.obolibrary.org/obo/HP_0001444	Autosomal dominant somatic cell mutation
Y-linked inheritance	Y-linked inheritance	HP	http://purl.obolibrary.org/obo/HP_0001450	Y-linked inheritance
Autosomal dominant contiguous gene syndrome	Autosomal dominant contiguous gene syndrome	HP	http://purl.obolibrary.org/obo/HP_0001452	Autosomal dominant contiguous gene syndrome
Contiguous gene syndrome	Contiguous gene syndrome	HP	http://purl.obolibrary.org/obo/HP_0001466	Contiguous gene syndrome
Sex-limited autosomal dominant	Sex-limited autosomal dominant	HP	http://purl.obolibrary.org/obo/HP_0001470	Sex-limited autosomal dominant
Male-limited autosomal dominant	Male-limited autosomal dominant	HP	http://purl.obolibrary.org/obo/HP_0001475	Male-limited autosomal dominant
Genetic anticipation	Genetic anticipation	HP	http://purl.obolibrary.org/obo/HP_0003743	Genetic anticipation
Genetic anticipation with paternal anticipation bias	Genetic anticipation with paternal anticipation bias	HP	http://purl.obolibrary.org/obo/HP_0003744	Genetic anticipation with paternal anticipation bias
Sporadic	Sporadic	HP	http://purl.obolibrary.org/obo/HP_0003745	Sporadic
Gonosomal inheritance	Gonosomal inheritance	HP	http://purl.obolibrary.org/obo/HP_0010985	Gonosomal inheritance
Autosomal Recessive Compound Heterozygous	Autosomal Recessive Compound Heterozygous	SCDO	http://purl.obolibrary.org/obo/SCDO_1000243	Autosomal Recessive Compound Heterozygous
Polygenic inheritance	Polygenic inheritance	HP	http://purl.obolibrary.org/obo/HP_0010982	Polygenic inheritance
