value	description	codesystem	code	iri
Chromosome 1	Chromosome 1	NCIT	C13204	http://purl.obolibrary.org/obo/NCIT_C13204
Chromosome 20	Chromosome 20	NCIT	C13216	http://purl.obolibrary.org/obo/NCIT_C13216
Chromosome 5	Chromosome 5	NCIT	C13221	http://purl.obolibrary.org/obo/NCIT_C13221
Chromosome 7	Chromosome 7	NCIT	C13223	http://purl.obolibrary.org/obo/NCIT_C13223
Chromosome X	Chromosome X	NCIT	C13285	http://purl.obolibrary.org/obo/NCIT_C13285
Chromosome Y	Chromosome Y	NCIT	C13286	http://purl.obolibrary.org/obo/NCIT_C13286
Chromosome 10	Chromosome 10	NCIT	C13205	http://purl.obolibrary.org/obo/NCIT_C13205
Chromosome 12	Chromosome 12	NCIT	C13207	http://purl.obolibrary.org/obo/NCIT_C13207
Chromosome 13	Chromosome 13	NCIT	C13208	http://purl.obolibrary.org/obo/NCIT_C13208
Chromosome 15	Chromosome 15	NCIT	C13210	http://purl.obolibrary.org/obo/NCIT_C13210
Chromosome 17	Chromosome 17	NCIT	C13212	http://purl.obolibrary.org/obo/NCIT_C13212
Chromosome 18	Chromosome 18	NCIT	C13213	http://purl.obolibrary.org/obo/NCIT_C13213
Chromosome 19	Chromosome 19	NCIT	C13214	http://purl.obolibrary.org/obo/NCIT_C13214
Chromosome 2	Chromosome 2	NCIT	C13215	http://purl.obolibrary.org/obo/NCIT_C13215
Chromosome 21	Chromosome 21	NCIT	C13217	http://purl.obolibrary.org/obo/NCIT_C13217
Chromosome 22	Chromosome 22	NCIT	C13218	http://purl.obolibrary.org/obo/NCIT_C13218
Chromosome 4	Chromosome 4	NCIT	C13220	http://purl.obolibrary.org/obo/NCIT_C13220
Chromosome 6	Chromosome 6	NCIT	C13222	http://purl.obolibrary.org/obo/NCIT_C13222
Chromosome 8	Chromosome 8	NCIT	C13224	http://purl.obolibrary.org/obo/NCIT_C13224
Chromosome 3	Chromosome 3	NCIT	C13219	http://purl.obolibrary.org/obo/NCIT_C13219
Chromosome 11	Chromosome 11	NCIT	C13206	http://purl.obolibrary.org/obo/NCIT_C13206
Chromosome 14	Chromosome 14	NCIT	C13209	http://purl.obolibrary.org/obo/NCIT_C13209
Chromosome 16	Chromosome 16	NCIT	C13211	http://purl.obolibrary.org/obo/NCIT_C13211
Chromosome 9	Chromosome 9	NCIT	C13225	http://purl.obolibrary.org/obo/NCIT_C13225
